init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.318721,0.018811,0.446111,0.009475,-0.535706,-0.349027,-0.135691,-0.579859,-2.980081,0.563161,0.035653,0.488760,0.044309,0.257318,-1.305389,-0.098422,-0.414309,-2.999786,1,0.420831,0.025846,0.463927,0.038217,-0.176376,-0.708772,-0.083695,-0.577020,-3.020411,-14.071867,S,right,0.420831,0.035846,0.463927,0.085841,-0.174422,-0.710238,0.003138,-0.576024,-3.087955
0.376300,-0.013418,0.446779,-0.162490,-0.289747,-0.555826,-0.410740,-0.653061,-2.780385,0.499786,-0.016557,0.469436,-0.124493,0.084895,-1.032790,-0.406592,-0.547379,-2.756633,1,0.421963,-0.014579,0.455157,-0.140809,-0.146414,-0.721262,-0.387799,-0.626333,-2.791258,7.321618,M,right,0.421963,-0.004579,0.455157,-0.097784,-0.151666,-0.712309,-0.315264,-0.618531,-2.846175
0.297531,0.004726,0.449031,-0.160176,-0.628966,-0.312659,-0.465397,-0.565269,-2.712043,0.568897,0.013067,0.500907,-0.037883,0.267299,-1.363852,-0.330312,-0.382150,-2.791083,1,0.384540,0.007400,0.465664,-0.061019,-0.306216,-0.595704,-0.267898,-0.574028,-2.875164,38.976772,M,right,0.384540,0.017400,0.465664,-0.003858,-0.308628,-0.590255,-0.163201,-0.567417,-2.957308
0.368458,0.013332,0.486085,-0.048826,-0.401058,-0.579568,-0.280694,-0.495592,-2.851948,0.560185,0.024515,0.511956,-0.001682,0.226097,-1.336159,-0.244171,-0.360028,-2.865968,1,0.457590,0.018531,0.498112,-0.009462,-0.101317,-0.896198,-0.206006,-0.471273,-2.911830,23.297782,L,right,0.457590,0.028531,0.498112,0.037006,-0.101654,-0.893268,-0.103986,-0.467814,-2.997856
0.332766,0.028461,0.485975,0.089046,-0.547020,-0.463363,0.011246,-0.450322,-3.095094,0.560302,0.041371,0.463126,0.065912,0.278192,-1.256208,-0.038976,-0.482960,-3.053010,1,0.451596,0.035203,0.474042,0.071691,-0.087510,-0.833559,-0.024040,-0.539731,-3.066268,17.044241,L,right,0.451596,0.045203,0.474042,0.114801,-0.084347,-0.837234,0.059349,-0.539825,-3.133039
0.334657,0.022856,0.446175,0.042420,-0.466316,-0.397793,-0.073687,-0.597741,-3.029191,0.525713,0.034633,0.473950,0.050829,0.152201,-1.119962,-0.069840,-0.493878,-3.027687,1,0.455245,0.030290,0.463706,0.050784,-0.060231,-0.831293,-0.061428,-0.569953,-3.037472,32.564259,M,right,0.455245,0.040290,0.463706,0.091940,-0.057982,-0.833547,0.014419,-0.569196,-3.096794
0.301772,0.004718,0.436005,-0.124674,-0.582811,-0.293553,-0.365809,-0.613699,-2.805507,0.537298,0.049398,0.507973,0.099842,0.155388,-1.226299,0.041102,-0.390054,-3.121790,1,0.430313,0.029103,0.475283,0.049893,-0.162092,-0.758963,-0.066139,-0.540528,-3.032575,29.292195,S,right,0.430313,0.039103,0.475283,0.097518,-0.159670,-0.761161,0.025900,-0.539989,-3.106246
0.340970,0.026678,0.528006,-0.007384,-0.559783,-0.586481,-0.287127,-0.326441,-2.822957,0.566596,0.040402,0.445914,0.062461,0.320822,-1.263639,-0.043467,-0.518246,-3.050149,1,0.424158,0.031738,0.497739,0.061902,-0.215108,-0.775155,-0.048689,-0.470871,-3.044578,10.093489,L,right,0.424158,0.041738,0.497739,0.116900,-0.211917,-0.778497,0.071806,-0.471252,3.137303
0.345707,0.013636,0.473816,-0.047829,-0.472166,-0.485692,-0.267589,-0.517285,-2.866287,0.538051,-0.020536,0.497487,-0.146739,0.182153,-1.255809,-0.557376,-0.444392,-2.598963,1,0.474685,-0.009278,0.489689,-0.118237,-0.024722,-0.966309,-0.424903,-0.505833,-2.731357,9.132078,L,right,0.474685,0.000722,0.489689,-0.078994,-0.029467,-0.956019,-0.344208,-0.498682,-2.798748
0.325005,-0.008019,0.442172,-0.190455,-0.482000,-0.388061,-0.468210,-0.639892,-2.731333,0.552818,0.036111,0.482656,0.049021,0.229731,-1.249258,-0.081560,-0.442374,-3.015665,1,0.398249,0.006169,0.455188,-0.056262,-0.237630,-0.624329,-0.244567,-0.611757,-2.899641,0.553334,L,right,0.398249,0.016169,0.455188,-0.005580,-0.239630,-0.619961,-0.156852,-0.606419,-2.966251
