init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.344083,-0.002849,0.466886,-0.161061,-0.455524,-0.487559,-0.467960,-0.564289,-2.709624,0.487189,-0.018050,0.492962,-0.148855,0.017854,-1.031590,-0.502023,-0.497049,-2.662242,1,0.407232,-0.009557,0.478392,-0.145576,-0.235877,-0.710176,-0.443004,-0.556106,-2.728356,10.370705,M,left,0.407232,-0.019557,0.478392,-0.191961,-0.227929,-0.723807,-0.527165,-0.568652,-2.660871
0.325821,0.010154,0.492848,-0.146397,-0.574273,-0.490305,-0.546781,-0.451964,-2.610538,0.535605,0.041064,0.462189,0.070824,0.200424,-1.146887,-0.026863,-0.514364,-3.063599,1,0.407062,0.022124,0.480975,0.016694,-0.252431,-0.689101,-0.134508,-0.522816,-2.976281,14.663493,S,left,0.407062,0.012124,0.480975,-0.037655,-0.250992,-0.693564,-0.241952,-0.528075,-2.889047
0.366278,0.014203,0.518334,-0.096600,-0.444798,-0.655013,-0.476904,-0.399705,-2.661530,0.489556,0.010522,0.434247,-0.020942,0.098451,-0.926967,-0.175667,-0.638963,-2.955670,1,0.424938,0.012452,0.478323,-0.031096,-0.184614,-0.749195,-0.225126,-0.537307,-2.904078,24.662168,L,left,0.424938,0.002452,0.478323,-0.078792,-0.181469,-0.756104,-0.316741,-0.543954,-2.830281
0.294437,0.015938,0.439717,-0.026165,-0.634704,-0.266769,-0.204744,-0.568066,-2.924498,0.565877,0.030047,0.455304,0.030965,0.304668,-1.270377,-0.110894,-0.497397,-2.993861,1,0.452077,0.024132,0.448769,0.028345,-0.045856,-0.799829,-0.095902,-0.616997,-3.013400,-8.744459,M,left,0.452077,0.014132,0.448769,-0.011435,-0.045718,-0.801211,-0.164017,-0.619621,-2.962203
0.310938,0.003537,0.465249,-0.173713,-0.594971,-0.389255,-0.522128,-0.533009,-2.654623,0.505267,0.016069,0.468135,-0.010045,0.094096,-1.030280,-0.185428,-0.531531,-2.935663,1,0.425688,0.010937,0.466953,-0.032894,-0.163974,-0.733886,-0.215784,-0.572698,-2.916357,-27.273019,S,left,0.425688,0.000937,0.466953,-0.078544,-0.161018,-0.740013,-0.298689,-0.578721,-2.851424
0.324839,0.027026,0.532470,0.096905,-0.632338,-0.543779,0.045229,-0.284831,-3.127506,0.533077,0.013414,0.515177,-0.041546,0.134059,-1.230267,-0.339349,-0.383545,-2.783149,1,0.411571,0.021356,0.525268,-0.016673,-0.290303,-0.792752,-0.266485,-0.389527,-2.849363,0.589030,L,left,0.411571,0.011356,0.525268,-0.084778,-0.285110,-0.808246,-0.442456,-0.400832,-2.693060
0.359759,-0.002082,0.489217,-0.167285,-0.426676,-0.585063,-0.534733,-0.506525,-2.636081,0.496760,-0.010249,0.483300,-0.111214,0.054952,-1.039317,-0.406559,-0.509565,-2.747918,1,0.433786,-0.006495,0.486020,-0.121366,-0.157385,-0.810087,-0.413950,-0.528407,-2.745967,-5.629986,M,left,0.433786,-0.016495,0.486020,-0.164728,-0.150665,-0.822773,-0.497292,-0.538789,-2.677669
0.332273,0.022697,0.436584,0.044409,-0.454143,-0.375623,-0.066848,-0.631894,-3.035947,0.558385,0.018671,0.436287,0.001143,0.306951,-1.215330,-0.156351,-0.557417,-2.961743,1,0.483268,0.020009,0.436386,0.011590,0.074734,-0.903102,-0.121622,-0.635561,-2.995520,30.594068,M,left,0.483268,0.010009,0.436386,-0.023267,0.075302,-0.904998,-0.179791,-0.638105,-2.952492
0.292160,0.017850,0.439053,-0.003710,-0.645211,-0.257269,-0.163851,-0.563846,-2.956428,0.529061,0.047194,0.499696,0.093813,0.135796,-1.176478,0.023620,-0.420099,-3.106007,1,0.419329,0.033602,0.471606,0.075443,-0.193077,-0.715866,-0.016452,-0.551795,-3.072465,-42.702135,S,left,0.419329,0.023602,0.471606,0.025954,-0.194531,-0.715308,-0.110155,-0.553370,-2.998146
0.320413,0.021061,0.433166,0.035286,-0.497328,-0.333066,-0.082241,-0.631769,-3.024510,0.540643,0.010870,0.466032,-0.028182,0.210626,-1.176612,-0.232108,-0.505429,-2.894070,1,0.432712,0.015864,0.449925,-0.004696,-0.111441,-0.732293,-0.151881,-0.621984,-2.971621,10.348899,S,left,0.432712,0.005864,0.449925,-0.047323,-0.109930,-0.735783,-0.224194,-0.625996,-2.917433
0.307035,0.011649,0.457248,-0.086620,-0.608221,-0.343791,-0.339182,-0.532326,-2.809496,0.566516,-0.004282,0.483725,-0.084044,0.280385,-1.335175,-0.405099,-0.435727,-2.733551,1,0.476685,0.001233,0.474559,-0.068488,-0.003733,-0.936361,-0.298753,-0.539034,-2.844160,23.669124,S,left,0.476685,-0.008767,0.474559,-0.106185,0.000249,-0.944666,-0.371108,-0.544970,-2.785612
0.362316,0.011240,0.512921,-0.114618,-0.452651,-0.634926,-0.504454,-0.418039,-2.640539,0.523434,-0.019587,0.524540,-0.172851,0.116606,-1.270712,-0.719022,-0.393577,-2.434771,1,0.426166,-0.000977,0.517526,-0.132586,-0.219814,-0.853358,-0.527552,-0.438385,-2.624468,-31.433025,S,left,0.426166,-0.010977,0.517526,-0.180839,-0.211189,-0.872128,-0.636393,-0.453289,-2.529188
0.312764,-0.012789,0.435983,-0.236756,-0.513840,-0.349477,-0.534537,-0.662757,-2.685671,0.575453,0.023327,0.459851,0.008606,0.329978,-1.321636,-0.164933,-0.474236,-2.946889,1,0.496530,0.012476,0.452680,-0.018426,0.089450,-0.975690,-0.186198,-0.581838,-2.940813,-24.331290,L,left,0.496530,0.002476,0.452680,-0.052930,0.091187,-0.979816,-0.248334,-0.585270,-2.892494
0.298294,0.030129,0.532177,0.036127,-0.743971,-0.479718,-0.200686,-0.241529,-2.895826,0.488478,-0.009583,0.502196,-0.124335,0.007646,-1.045979,-0.475988,-0.465490,-2.677254,1,0.367454,0.015688,0.521275,-0.089050,-0.443851,-0.663816,-0.467672,-0.389647,-2.667841,43.222016,L,left,0.367454,0.005688,0.521275,-0.167271,-0.432827,-0.691117,-0.662525,-0.413605,-2.493654
0.369038,0.033020,0.495179,0.099876,-0.412427,-0.591891,0.035521,-0.456600,-3.115653,0.545796,-0.013717,0.516442,-0.140944,0.191696,-1.333264,-0.631450,-0.385177,-2.515235,1,0.438011,0.014783,0.503476,-0.032043,-0.173440,-0.839394,-0.262042,-0.460788,-2.862674,-7.048030,M,left,0.438011,0.004783,0.503476,-0.081868,-0.169695,-0.848873,-0.372159,-0.468545,-2.768932
0.368389,0.004766,0.494077,-0.118900,-0.406336,-0.609407,-0.445513,-0.483659,-2.708347,0.562251,0.030990,0.458171,0.034048,0.289345,-1.257424,-0.104954,-0.494767,-2.998622,1,0.435875,0.013895,0.481578,-0.024435,-0.152208,-0.792001,-0.216145,-0.525983,-2.909927,28.513806,M,left,0.435875,0.003895,0.481578,-0.070579,-0.149408,-0.798512,-0.306634,-0.532068,-2.836424
0.379342,0.021327,0.484458,0.011257,-0.359229,-0.604805,-0.151167,-0.501170,-2.960792,0.494398,0.030517,0.438438,0.046124,0.106291,-0.948843,-0.065108,-0.619052,-3.036674,1,0.441593,0.026300,0.459559,0.037269,-0.098815,-0.775908,-0.084078,-0.587469,-3.020676,-40.006261,M,left,0.441593,0.016300,0.459559,-0.005471,-0.098892,-0.777165,-0.160480,-0.590146,-2.961776
0.374538,0.026164,0.452674,0.052307,-0.321084,-0.535986,-0.055667,-0.604281,-3.043216,0.521261,-0.005181,0.485866,-0.090500,0.129183,-1.138255,-0.383168,-0.480072,-2.761695,1,0.434768,0.013297,0.466299,-0.020962,-0.132534,-0.763700,-0.193664,-0.572395,-2.933807,0.285945,M,left,0.434768,0.003297,0.466299,-0.065046,-0.130169,-0.768920,-0.273917,-0.577600,-2.870974
0.376490,0.003760,0.442892,-0.069963,-0.291057,-0.534862,-0.255057,-0.649207,-2.897939,0.579461,0.004190,0.440595,-0.042535,0.369737,-1.323235,-0.255248,-0.520383,-2.876976,1,0.478441,0.003976,0.441738,-0.046070,0.051907,-0.894802,-0.221244,-0.628537,-2.920049,43.588261,M,left,0.478441,-0.006024,0.441738,-0.081275,0.054562,-0.900081,-0.280446,-0.632521,-2.875742
0.327842,0.005344,0.437517,-0.087065,-0.471340,-0.371311,-0.288838,-0.636490,-2.870102,0.537194,0.012279,0.465234,-0.023287,0.200373,-1.159946,-0.219702,-0.510781,-2.905065,1,0.409349,0.008044,0.448308,-0.041255,-0.186371,-0.650865,-0.211572,-0.633295,-2.928041,-1.082145,M,left,0.409349,-0.001956,0.448308,-0.087462,-0.183213,-0.656631,-0.288408,-0.639264,-2.870967
0.330551,-0.009531,0.458244,-0.214515,-0.487564,-0.441972,-0.546978,-0.597044,-2.653080,0.481709,0.039024,0.459403,0.078209,0.033641,-0.926127,-0.010918,-0.568220,-3.076966,1,0.397060,0.011833,0.458754,-0.029485,-0.249844,-0.622952,-0.201876,-0.596671,-2.930445,19.557965,S,left,0.397060,0.001833,0.458754,-0.080525,-0.246749,-0.628986,-0.291173,-0.603372,-2.861981
0.310603,0.016525,0.473485,-0.058573,-0.622749,-0.383618,-0.315209,-0.473379,-2.818968,0.556655,0.012210,0.515164,-0.048759,0.214789,-1.338184,-0.382637,-0.360369,-2.740139,1,0.425126,0.014517,0.492884,-0.028690,-0.204817,-0.774790,-0.238977,-0.492283,-2.886573,25.553388,L,left,0.425126,0.004517,0.492884,-0.079350,-0.201360,-0.783051,-0.344252,-0.499794,-2.798923
0.298949,0.020757,0.477986,-0.028955,-0.685710,-0.357088,-0.271641,-0.431184,-2.850265,0.550188,0.035324,0.433099,0.051483,0.287140,-1.175426,-0.059840,-0.573153,-3.038837,1,0.468521,0.030589,0.447690,0.050627,0.009402,-0.859895,-0.058052,-0.610919,-3.041657,-18.857670,M,left,0.468521,0.020589,0.447690,0.013046,0.008660,-0.859838,-0.123022,-0.612789,-2.992596
0.305841,0.003880,0.449125,-0.148128,-0.590820,-0.334575,-0.433644,-0.575683,-2.741241,0.481672,0.008220,0.508132,-0.059068,-0.029279,-1.012277,-0.339301,-0.440188,-2.792416,1,0.384216,0.005814,0.475427,-0.077750,-0.322732,-0.614010,-0.314380,-0.544483,-2.832318,44.534086,M,left,0.384216,-0.004186,0.475427,-0.133883,-0.316768,-0.625016,-0.419432,-0.556028,-2.748024
0.376321,-0.004242,0.488442,-0.157532,-0.362879,-0.631926,-0.501839,-0.517165,-2.667787,0.536267,0.022634,0.515671,-0.006288,0.142207,-1.237386,-0.247202,-0.375463,-2.864951,1,0.460341,0.009876,0.502746,-0.051394,-0.095428,-0.920812,-0.305900,-0.462119,-2.825122,-18.489953,L,left,0.460341,-0.000124,0.502746,-0.095691,-0.091227,-0.930991,-0.403632,-0.469620,-2.741766
0.341813,0.025901,0.473045,0.057754,-0.488817,-0.465624,-0.054005,-0.506821,-3.041209,0.548639,0.054013,0.453865,0.108039,0.256704,-1.197860,0.047855,-0.519988,-3.124401,1,0.441134,0.039401,0.463834,0.093694,-0.104844,-0.782566,0.017541,-0.573337,-3.099190,-30.176447,L,left,0.441134,0.029401,0.463834,0.050189,-0.107152,-0.780344,-0.062133,-0.574002,-3.037080
0.353618,0.025510,0.498995,0.038428,-0.479885,-0.551902,-0.108868,-0.431029,-2.991602,0.530837,0.038227,0.433248,0.064055,0.227914,-1.092934,-0.035534,-0.595932,-3.058324,1,0.442936,0.031919,0.465859,0.060506,-0.104071,-0.789944,-0.043700,-0.567068,-3.051264,30.301310,S,left,0.442936,0.021919,0.465859,0.016998,-0.105033,-0.789900,-0.124039,-0.568996,-2.988311
0.375754,0.016034,0.506851,-0.049289,-0.400560,-0.645147,-0.320134,-0.433529,-2.808130,0.562636,0.051106,0.508830,0.097738,0.239912,-1.340395,0.038383,-0.360431,-3.119924,1,0.501790,0.039687,0.508186,0.073087,0.035280,-1.077967,-0.027009,-0.418123,-3.062053,-34.496668,L,left,0.501790,0.029687,0.508186,0.031072,0.033965,-1.077769,-0.129643,-0.419851,-2.972904
0.282977,0.012055,0.452781,-0.134904,-0.713085,-0.275197,-0.454549,-0.514170,-2.707905,0.561994,0.047537,0.460807,0.084582,0.288037,-1.262789,0.000982,-0.485930,-3.086331,1,0.436171,0.031536,0.457188,0.061353,-0.112003,-0.753723,-0.040359,-0.595305,-3.054615,-17.384954,S,left,0.436171,0.021536,0.457188,0.017882,-0.113030,-0.753487,-0.117265,-0.597123,-2.995750
0.366398,0.011622,0.487455,-0.063945,-0.410045,-0.578183,-0.315571,-0.492023,-2.821854,0.524233,-0.009741,0.448353,-0.088202,0.188013,-1.094388,-0.318255,-0.575931,-2.835214,1,0.443911,0.001130,0.468252,-0.072931,-0.101969,-0.805914,-0.291782,-0.570883,-2.855515,33.705504,S,left,0.443911,-0.008870,0.468252,-0.114408,-0.097666,-0.814179,-0.367113,-0.577721,-2.796160
0.336218,0.029477,0.501616,0.101866,-0.553503,-0.505887,0.045127,-0.401641,-3.125088,0.540218,-0.005156,0.463358,-0.077903,0.216724,-1.180810,-0.329383,-0.518582,-2.815019,1,0.448131,0.010478,0.480628,-0.038058,-0.108783,-0.835605,-0.242663,-0.528317,-2.888498,5.666207,M,left,0.448131,0.000478,0.480628,-0.081382,-0.105600,-0.842697,-0.327258,-0.534443,-2.819801
0.378666,0.011233,0.479121,-0.051109,-0.351309,-0.598913,-0.270446,-0.525361,-2.865184,0.569880,0.033810,0.521589,0.026682,0.251715,-1.396597,-0.182063,-0.320563,-2.918907,1,0.507118,0.026399,0.507650,0.016708,0.052131,-1.098811,-0.165364,-0.418832,-2.941696,-15.193958,S,left,0.507118,0.016399,0.507650,-0.023856,0.053317,-1.103839,-0.264224,-0.422570,-2.855605
0.363123,0.021067,0.465155,0.018808,-0.389252,-0.519088,-0.123306,-0.555515,-2.987848,0.503525,0.012402,0.480095,-0.026907,0.073138,-1.042873,-0.231092,-0.501540,-2.894403,1,0.452135,0.015574,0.474627,-0.013210,-0.087653,-0.837870,-0.188185,-0.542475,-2.934658,35.631317,L,left,0.452135,0.005574,0.474627,-0.055591,-0.085608,-0.842893,-0.269216,-0.547259,-2.869697
0.356233,0.029818,0.508027,0.081512,-0.480134,-0.577684,-0.006613,-0.402871,-3.079719,0.515404,0.031323,0.462247,0.042799,0.134776,-1.061355,-0.080555,-0.535433,-3.020775,1,0.460922,0.030808,0.477916,0.050011,-0.063219,-0.872687,-0.067592,-0.525704,-3.030807,-20.087704,M,left,0.460922,0.020808,0.477916,0.007753,-0.063726,-0.873525,-0.151055,-0.528080,-2.963262
0.368286,-0.001370,0.455080,-0.112077,-0.343248,-0.532740,-0.344637,-0.610703,-2.821516,0.557195,-0.006555,0.463705,-0.081380,0.271573,-1.258359,-0.349775,-0.498136,-2.793912,1,0.425240,-0.002933,0.457680,-0.090702,-0.145689,-0.726338,-0.306885,-0.609213,-2.850820,-15.772310,M,left,0.425240,-0.012933,0.457680,-0.133632,-0.140696,-0.735051,-0.380292,-0.616794,-2.794805
0.348665,-0.013992,0.433107,-0.182089,-0.362963,-0.447256,-0.422605,-0.691227,-2.782183,0.509684,-0.007598,0.483121,-0.099031,0.095714,-1.087857,-0.388306,-0.498457,-2.761097,1,0.404967,-0.011756,0.450595,-0.135661,-0.197516,-0.653594,-0.371147,-0.640278,-2.807742,-15.136864,L,left,0.404967,-0.021756,0.450595,-0.180055,-0.190656,-0.664338,-0.443199,-0.649949,-2.754155
