init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.326390,0.004184,0.456666,-0.121561,-0.516315,-0.405584,-0.385339,-0.570456,-2.779642,0.561783,0.047118,0.452484,0.083364,0.298101,-1.251408,-0.001548,-0.507375,-3.084245,1,0.446892,0.026163,0.454525,0.036526,-0.072705,-0.788279,-0.083692,-0.601207,-3.021723,-12.230247,S,right,0.446892,0.036163,0.454525,0.077853,-0.070995,-0.789685,-0.011031,-0.600027,-3.077104
0.363466,0.010433,0.447387,-0.039868,-0.351548,-0.495526,-0.212105,-0.623459,-2.926241,0.545809,0.027751,0.476935,0.023494,0.212781,-1.210045,-0.134198,-0.466835,-2.972256,1,0.485572,0.022030,0.467174,0.013153,0.032108,-0.950185,-0.136032,-0.546439,-2.976973,4.040249,M,left,0.485572,0.012030,0.467174,-0.024118,0.032857,-0.952909,-0.207029,-0.549546,-2.920320
0.373097,-0.004047,0.461472,-0.128997,-0.335124,-0.562413,-0.384283,-0.595237,-2.786381,0.492212,0.031230,0.442993,0.048613,0.091880,-0.945378,-0.061803,-0.608009,-3.038701,1,0.411939,0.007457,0.455446,-0.046537,-0.190596,-0.670437,-0.227689,-0.610932,-2.912509,38.890210,M,left,0.411939,-0.002543,0.455446,-0.093034,-0.187134,-0.676859,-0.307351,-0.617408,-2.852095
0.366113,-0.016252,0.451150,-0.191627,-0.332564,-0.535990,-0.469125,-0.641640,-2.731137,0.497425,-0.007345,0.528411,-0.139492,0.016886,-1.149036,-0.614803,-0.392057,-2.532562,1,0.431967,-0.011786,0.489896,-0.149103,-0.164847,-0.818893,-0.477282,-0.523621,-2.690747,37.976790,L,right,0.431967,-0.001786,0.489896,-0.104060,-0.171087,-0.806601,-0.388210,-0.513422,-2.764391
0.304257,0.016151,0.469639,-0.066806,-0.645233,-0.358800,-0.330978,-0.477798,-2.806201,0.509486,0.014920,0.465208,-0.013434,0.111731,-1.043473,-0.190567,-0.536403,-2.932037,1,0.388195,0.015648,0.467827,-0.014560,-0.298711,-0.606513,-0.184610,-0.562622,-2.939824,14.293509,M,left,0.388195,0.005648,0.467827,-0.070647,-0.295845,-0.612683,-0.287974,-0.569750,-2.858368
0.329091,0.012236,0.486543,-0.102378,-0.557162,-0.472834,-0.423676,-0.464795,-2.723202,0.570825,0.035697,0.524916,0.032481,0.252743,-1.407261,-0.168872,-0.310156,-2.930285,1,0.422337,0.021286,0.501345,0.002670,-0.226493,-0.777580,-0.182094,-0.462869,-2.931267,18.847162,S,right,0.422337,0.031286,0.501345,0.059423,-0.226202,-0.775397,-0.055350,-0.459658,-3.038636
0.360924,0.028615,0.492959,0.067961,-0.442296,-0.561543,-0.036395,-0.457090,-3.054643,0.510992,-0.009117,0.488622,-0.107339,0.094634,-1.105392,-0.418473,-0.484080,-2.731973,1,0.406209,0.017229,0.491650,-0.016039,-0.270406,-0.707408,-0.212080,-0.491684,-2.909068,-4.807696,M,right,0.406209,0.027229,0.491650,0.042526,-0.270929,-0.703961,-0.088371,-0.487312,-3.011996
0.374124,-0.008627,0.444710,-0.138166,-0.296977,-0.540283,-0.368495,-0.653869,-2.813153,0.508092,0.028298,0.436731,0.036581,0.151116,-1.001386,-0.082316,-0.611881,-3.023354,1,0.418333,0.003558,0.442077,-0.057095,-0.142613,-0.675569,-0.231867,-0.654445,-2.916081,-6.245109,M,right,0.418333,0.013558,0.442077,-0.012934,-0.144467,-0.671765,-0.159793,-0.650095,-2.968705
0.317419,0.010844,0.448761,-0.066252,-0.544485,-0.355727,-0.276530,-0.576776,-2.868751,0.561400,-0.010456,0.463875,-0.092936,0.286624,-1.281604,-0.378191,-0.493918,-2.768813,1,0.454584,-0.001131,0.457258,-0.074318,-0.048791,-0.828924,-0.281353,-0.600126,-2.869072,-17.224619,S,left,0.454584,-0.011131,0.457258,-0.113106,-0.044756,-0.836490,-0.348930,-0.606026,-2.817086
0.363540,0.008936,0.478855,-0.075071,-0.407259,-0.554152,-0.322420,-0.520370,-2.821176,0.537532,-0.016302,0.440932,-0.103658,0.242704,-1.146403,-0.344046,-0.582412,-2.815817,1,0.479509,-0.007886,0.453578,-0.092138,0.039286,-0.921378,-0.313771,-0.599960,-2.843567,7.677891,M,left,0.479509,-0.017886,0.453578,-0.127280,0.043721,-0.929741,-0.375158,-0.605440,-2.796132
